week,year,clusters,ptp
1,1990,1,32.19
1,1990,2,16.65
1,1990,3,16.84
1,1990,4,9.09
1,1991,1,21.64
1,1991,2,19.52
1,1991,3,13.8
1,1991,4,13.45
1,1992,1,4.94
1,1992,2,17.76
1,1992,3,15.92
1,1992,4,18.11
1,1993,1,21.71
1,1993,2,27.92
1,1993,3,29.55
1,1993,4,25.7
1,1994,1,35.13
1,1994,2,19.28
1,1994,3,9.1
1,1994,4,12.75
1,1995,1,3.32
1,1995,2,1.45
1,1995,3,0.24
1,1995,4,1.1
1,1996,1,16.77
1,1996,2,7.67
1,1996,3,4.22
1,1996,4,2.84
1,1997,1,4.96
1,1997,2,6.73
1,1997,3,6.74
1,1997,4,6.62
1,1998,1,9.22
1,1998,2,6.38
1,1998,3,4.24
1,1998,4,5.31
1,1999,1,33.16
1,1999,2,34.38
1,1999,3,33.82
1,1999,4,27.95
1,2000,1,13.44
1,2000,2,5.05
1,2000,3,1.32
1,2000,4,4.04
1,2001,1,42.64
1,2001,2,39.65
1,2001,3,47.88
1,2001,4,34.14
1,2002,1,54.97
1,2002,2,36.7
1,2002,3,25.35
1,2002,4,22.0
1,2003,1,6.25
1,2003,2,2.73
1,2003,3,0.55
1,2003,4,1.14
1,2004,1,5.99
1,2004,2,17.59
1,2004,3,25.55
1,2004,4,14.44
1,2005,1,18.64
1,2005,2,14.34
1,2005,3,7.31
1,2005,4,11.48
1,2006,1,25.33
1,2006,2,24.59
1,2006,3,32.76
1,2006,4,16.13
1,2007,1,43.9
1,2007,2,32.35
1,2007,3,30.21
1,2007,4,19.42
1,2008,1,22.69
1,2008,2,29.93
1,2008,3,54.03
1,2008,4,30.04
1,2009,1,17.37
1,2009,2,4.01
1,2009,3,2.24
1,2009,4,1.04
1,2010,1,44.56
1,2010,2,34.7
1,2010,3,39.18
1,2010,4,23.98
1,2011,1,60.66
1,2011,2,35.5
1,2011,3,22.31
1,2011,4,24.88
1,2012,1,19.06
1,2012,2,29.78
1,2012,3,37.92
1,2012,4,19.06
1,2013,1,18.03
1,2013,2,13.07
1,2013,3,9.57
1,2013,4,10.12
1,2014,1,63.5
1,2014,2,43.91
1,2014,3,29.81
1,2014,4,31.16
1,2015,1,34.9
1,2015,2,21.87
1,2015,3,12.45
1,2015,4,11.43
1,2016,1,19.47
1,2016,2,28.5
1,2016,3,27.05
1,2016,4,20.61
1,2017,1,37.0
1,2017,2,13.22
1,2017,3,13.75
1,2017,4,7.28
1,2018,1,17.04
1,2018,2,12.0
1,2018,3,9.85
1,2018,4,5.51
1,2019,1,4.06
1,2019,2,11.39
1,2019,3,17.0
1,2019,4,10.87
1,2020,1,66.25
1,2020,2,31.12
1,2020,3,20.06
1,2020,4,16.77
1,2021,1,38.25
1,2021,2,16.15
1,2021,3,10.15
1,2021,4,8.68
2,1990,1,39.36
2,1990,2,30.78
2,1990,3,16.8
2,1990,4,19.73
2,1991,1,26.2
2,1991,2,15.82
2,1991,3,14.28
2,1991,4,9.86
2,1992,1,6.21
2,1992,2,7.43
2,1992,3,5.64
2,1992,4,5.25
2,1993,1,39.69
2,1993,2,41.85
2,1993,3,37.46
2,1993,4,34.55
2,1994,1,47.9
2,1994,2,31.31
2,1994,3,16.0
2,1994,4,20.76
2,1995,1,24.4
2,1995,2,10.42
2,1995,3,1.16
2,1995,4,4.96
2,1996,1,7.16
2,1996,2,7.7
2,1996,3,7.43
2,1996,4,4.96
2,1997,1,29.11
2,1997,2,11.12
2,1997,3,6.94
2,1997,4,6.88
2,1998,1,18.43
2,1998,2,16.6
2,1998,3,20.4
2,1998,4,13.68
2,1999,1,60.07
2,1999,2,22.88
2,1999,3,17.07
2,1999,4,11.06
2,2000,1,52.45
2,2000,2,14.83
2,2000,3,4.53
2,2000,4,5.63
2,2001,1,23.02
2,2001,2,11.87
2,2001,3,11.85
2,2001,4,7.31
2,2002,1,13.89
2,2002,2,9.52
2,2002,3,14.86
2,2002,4,4.44
2,2003,1,1.05
2,2003,2,3.96
2,2003,3,9.49
2,2003,4,3.94
2,2004,1,11.75
2,2004,2,5.12
2,2004,3,0.25
2,2004,4,2.31
2,2005,1,23.32
2,2005,2,7.28
2,2005,3,0.75
2,2005,4,1.53
2,2006,1,46.83
2,2006,2,13.37
2,2006,3,2.99
2,2006,4,6.93
2,2007,1,22.38
2,2007,2,11.7
2,2007,3,13.66
2,2007,4,7.72
2,2008,1,45.29
2,2008,2,41.06
2,2008,3,34.48
2,2008,4,32.76
2,2009,1,6.13
2,2009,2,8.33
2,2009,3,5.65
2,2009,4,5.9
2,2010,1,46.75
2,2010,2,29.24
2,2010,3,22.17
2,2010,4,20.07
2,2011,1,6.99
2,2011,2,15.54
2,2011,3,25.94
2,2011,4,14.59
2,2012,1,1.78
2,2012,2,3.11
2,2012,3,17.86
2,2012,4,1.93
2,2013,1,34.63
2,2013,2,43.11
2,2013,3,37.65
2,2013,4,35.19
2,2014,1,11.82
2,2014,2,20.95
2,2014,3,14.12
2,2014,4,20.87
2,2015,1,16.65
2,2015,2,8.62
2,2015,3,2.21
2,2015,4,5.15
2,2016,1,0.26
2,2016,2,3.48
2,2016,3,16.49
2,2016,4,4.32
2,2017,1,44.16
2,2017,2,30.98
2,2017,3,10.09
2,2017,4,21.04
2,2018,1,3.12
2,2018,2,3.42
2,2018,3,0.38
2,2018,4,1.87
2,2019,1,8.46
2,2019,2,12.89
2,2019,3,13.97
2,2019,4,12.35
2,2020,1,11.78
2,2020,2,16.59
2,2020,3,14.87
2,2020,4,11.53
2,2021,1,24.29
2,2021,2,20.03
2,2021,3,12.97
2,2021,4,10.73
3,1990,1,0.23
3,1990,2,7.15
3,1990,3,16.67
3,1990,4,7.18
3,1991,1,32.77
3,1991,2,16.02
3,1991,3,12.49
3,1991,4,9.51
3,1992,1,21.44
3,1992,2,11.32
3,1992,3,5.37
3,1992,4,5.94
3,1993,1,19.62
3,1993,2,16.72
3,1993,3,19.55
3,1993,4,12.92
3,1994,1,24.03
3,1994,2,32.18
3,1994,3,32.06
3,1994,4,28.41
3,1995,1,12.52
3,1995,2,7.51
3,1995,3,3.03
3,1995,4,5.65
3,1996,1,47.47
3,1996,2,47.08
3,1996,3,47.82
3,1996,4,37.13
3,1997,1,56.47
3,1997,2,33.0
3,1997,3,7.17
3,1997,4,21.11
3,1998,1,6.56
3,1998,2,9.35
3,1998,3,6.72
3,1998,4,8.45
3,1999,1,63.46
3,1999,2,48.23
3,1999,3,40.37
3,1999,4,34.69
3,2000,1,23.42
3,2000,2,12.44
3,2000,3,2.23
3,2000,4,5.66
3,2001,1,23.67
3,2001,2,9.77
3,2001,3,6.4
3,2001,4,6.14
3,2002,1,68.11
3,2002,2,24.27
3,2002,3,11.33
3,2002,4,11.31
3,2003,1,1.2
3,2003,2,1.75
3,2003,3,2.68
3,2003,4,1.74
3,2004,1,9.73
3,2004,2,27.87
3,2004,3,51.66
3,2004,4,23.38
3,2005,1,13.29
3,2005,2,23.53
3,2005,3,28.1
3,2005,4,20.92
3,2006,1,27.42
3,2006,2,13.85
3,2006,3,11.49
3,2006,4,12.64
3,2007,1,0.14
3,2007,2,5.53
3,2007,3,8.29
3,2007,4,5.8
3,2008,1,13.46
3,2008,2,16.68
3,2008,3,21.58
3,2008,4,12.02
3,2009,1,48.17
3,2009,2,15.38
3,2009,3,13.71
3,2009,4,6.2
3,2010,1,2.45
3,2010,2,0.27
3,2010,3,0.13
3,2010,4,0.02
3,2011,1,17.83
3,2011,2,7.88
3,2011,3,8.24
3,2011,4,7.2
3,2012,1,49.99
3,2012,2,35.92
3,2012,3,41.98
3,2012,4,30.92
3,2013,1,0.07
3,2013,2,0.76
3,2013,3,3.61
3,2013,4,0.68
3,2014,1,0.15
3,2014,2,0.6
3,2014,3,4.42
3,2014,4,0.57
3,2015,1,0.03
3,2015,2,0.82
3,2015,3,0.51
3,2015,4,0.69
3,2016,1,24.62
3,2016,2,18.05
3,2016,3,19.35
3,2016,4,13.04
3,2017,1,35.48
3,2017,2,34.18
3,2017,3,35.55
3,2017,4,29.19
3,2018,1,76.65
3,2018,2,42.63
3,2018,3,24.72
3,2018,4,32.34
3,2019,1,3.33
3,2019,2,7.09
3,2019,3,6.04
3,2019,4,7.4
3,2020,1,0.02
3,2020,2,17.15
3,2020,3,28.65
3,2020,4,19.14
3,2021,1,88.57
3,2021,2,45.32
3,2021,3,34.41
3,2021,4,30.26
4,1990,1,8.64
4,1990,2,25.62
4,1990,3,25.47
4,1990,4,24.58
4,1991,1,9.2
4,1991,2,3.56
4,1991,3,0.86
4,1991,4,1.76
4,1992,1,22.07
4,1992,2,22.51
4,1992,3,14.89
4,1992,4,15.33
4,1993,1,18.31
4,1993,2,13.7
4,1993,3,17.04
4,1993,4,9.59
4,1994,1,0.52
4,1994,2,0.59
4,1994,3,0.11
4,1994,4,0.23
